age_s,dmarried_s,empl_06,salary_06,profit_06,days_06,hours_06,contract_06,dformal_06,educ_s,age_lb,dmarried_lb,empl_04,salary_04,profit_04,days_04,hours_04,contract_04,dformal_04,select,pempl_06,pempl_04,dcontinue,codigo_ecap,codigo_curs,dwomen,p_selecap,select_dwomen,city_1_0,city_2_0,city_3_0,city_4_0,city_5_0,city_6_0,city_7_0,educ_lb_0_0,educ_lb_2_0,educ_lb_3_0,educ_lb_4_0,educ_lb_5_0,educ_lb_6_0,educ_lb_7_0,educ_lb_8_0,educ_lb_9_0,educ_lb_10_0,educ_lb_11_0,educ_lb_12_0,educ_lb_13_0,educ_lb_14_0,educ_lb_16_0
24.0,0.0,1.0,200.0,0.0,26.0,40.0,0.0,0.0,11.0,0.36363636363636354,0.0,1.0,0.19999999999999998,0.0,1.0,0.6050420168067226,0.0,0.0,1,1.0,1.0,1.0,3.0,66210010.0,1.0,0.6666667,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.09090909090909083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.0,66210010.0,1.0,0.6666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25.0,0.0,1.0,260.0,0.0,16.0,84.0,0.0,0.0,11.0,0.45454545454545436,0.0,1.0,0.3,0.0,0.8666666666666667,0.3529411764705882,0.0,0.0,0,1.0,1.0,1.0,3.0,63110010.0,1.0,0.6666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27.0,0.0,1.0,408.0,0.0,30.0,48.0,1.0,1.0,11.0,0.6363636363636365,0.0,1.0,0.22499999999999998,0.0,0.6666666666666666,0.23529411764705882,1.0,1.0,1,1.0,1.0,1.0,3.0,93620005.0,0.0,0.6666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20.0,0.0,1.0,180.0,0.0,20.0,20.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,3.0,13140010.0,1.0,0.6666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.36363636363636354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.0,63110010.0,1.0,0.6666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.09090909090909083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,3.0,63520505.0,1.0,0.6666667,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21.0,0.0,1.0,200.0,0.0,26.0,90.0,0.0,0.0,11.0,0.09090909090909083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,3.0,63110010.0,1.0,0.6666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23.0,1.0,1.0,408.0,0.0,30.0,56.0,1.0,1.0,11.0,0.36363636363636354,1.0,1.0,0.358,0.0,1.0,0.5294117647058824,1.0,1.0,0,1.0,1.0,1.0,3.0,93620005.0,0.0,0.6666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25.0,0.0,1.0,0.0,200000.0,30.0,56.0,0.0,0.0,11.0,0.45454545454545436,0.0,1.0,0.19999999999999998,0.0,0.5,0.40336134453781514,0.0,0.0,1,0.0,1.0,1.0,3.0,63110010.0,0.0,0.6666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
